,CountyName,total_population,total_age_population,total_race_population,hispanic_or_latino,median_household_income,bachelors_degree,masters_degree,professional_degree,doctorate_degree,labor_force,unemployed,median_rent,median_home_value,same_house_1yr_ago,moved_from_same_state,moved_from_different_state,owner_occupied,renter_occupied,state_fips,county_fips
126,"Conway County, Arkansas",20872,20872,20872,950,51212,1799,628,68,153,9228,622,721,137000,18494,0,0,5934,2369,05,029
127,"Craighead County, Arkansas",112097,112097,112097,6899,57615,11967,5493,1572,880,54575,3267,930,198700,90176,332,26,25668,17689,05,031
128,"Crawford County, Arkansas",60792,60792,60792,4950,60362,5652,1573,484,279,26311,1369,828,170000,52608,266,0,17071,5923,05,033
129,"Crittenden County, Arkansas",47609,47609,47609,1476,54271,3666,1344,100,123,22188,2088,883,155100,39877,2,0,10382,7956,05,035
130,"Cross County, Arkansas",16681,16681,16681,367,47012,1153,369,95,83,7721,656,797,104000,14383,0,0,4310,2214,05,037
131,"Dallas County, Arkansas",6351,6351,6351,92,44694,378,120,14,0,2785,237,626,98200,5795,39,0,1726,699,05,039
132,"Desha County, Arkansas",11041,11041,11041,765,36064,567,368,4,39,4158,178,689,89100,9861,0,0,2874,1876,05,041
133,"Drew County, Arkansas",17143,17143,17143,706,41071,1721,554,127,157,6923,355,712,127800,14724,48,14,4474,2530,05,043
134,"Faulkner County, Arkansas",126001,126001,126001,6949,65071,15950,7092,1865,1136,61820,2025,980,211300,111286,195,20,30094,18772,05,045
135,"Franklin County, Arkansas",17220,17220,17220,548,51919,1080,321,84,107,7240,319,717,118800,14828,10,0,5092,1786,05,047
136,"Fulton County, Arkansas",12239,12239,12239,208,38941,839,529,25,15,4425,170,596,107200,10762,0,0,4072,736,05,049
137,"Garland County, Arkansas",100062,100062,100062,7179,55409,12092,5292,982,774,45246,2656,942,176400,87396,107,45,30297,13465,05,051
138,"Grant County, Arkansas",18111,18111,18111,490,72512,2010,475,136,42,8413,337,779,154500,15740,8,3,5531,1424,05,053
139,"Greene County, Arkansas",46182,46182,46182,1678,56793,3244,1559,197,150,21557,1609,852,162200,37845,25,0,11678,6248,05,055
140,"Hempstead County, Arkansas",19778,19778,19778,2955,47654,1200,567,151,13,7886,305,781,100200,17679,20,0,5190,2264,05,057
141,"Hot Spring County, Arkansas",33142,33142,33142,1323,52644,2407,1190,70,120,13632,494,763,127900,29039,27,0,9363,2738,05,059
142,"Howard County, Arkansas",12701,12701,12701,1559,44492,984,373,36,10,5609,418,702,135400,11527,5,0,3680,1489,05,061
143,"Independence County, Arkansas",38120,38120,38120,3313,56009,2827,1033,239,180,17322,799,814,120500,34070,33,0,9816,4699,05,063
144,"Izard County, Arkansas",13866,13866,13866,388,47728,1350,487,79,51,4694,330,626,122100,11658,1,0,3754,1273,05,065
145,"Jackson County, Arkansas",16775,16775,16775,515,41215,1033,426,64,64,6518,629,662,87300,13718,6,6,3978,2116,05,067
146,"Jefferson County, Arkansas",65780,65780,65780,1631,48552,6459,2117,350,352,27435,2051,849,106000,56755,265,33,15382,8952,05,069
147,"Johnson County, Arkansas",25932,25932,25932,3539,44808,2214,646,143,128,10799,525,714,124800,22738,4,0,7199,2848,05,071
148,"Lafayette County, Arkansas",6211,6211,6211,49,37237,301,93,20,0,2324,205,711,74600,5690,14,0,1979,585,05,073
149,"Lawrence County, Arkansas",16265,16265,16265,348,44164,1040,371,9,114,7004,444,715,91100,13968,8,0,4388,2049,05,075
150,"Lee County, Arkansas",8511,8511,8511,249,36860,326,82,5,2,2801,495,638,77900,7326,10,0,1617,1024,05,077
151,"Lincoln County, Arkansas",12966,12966,12966,639,51667,687,255,95,29,3836,90,672,106100,11580,5,0,2758,760,05,079
152,"Little River County, Arkansas",11959,11959,11959,445,52241,1028,349,70,28,5538,501,812,113400,10440,0,0,3832,958,05,081
153,"Logan County, Arkansas",21240,21240,21240,707,54237,1635,558,110,62,9644,571,721,126900,18109,0,0,6506,1978,05,083
154,"Lonoke County, Arkansas",74747,74747,74747,3871,71449,7099,2927,309,219,35326,1575,961,184100,64312,139,28,20702,7115,05,085
155,"Madison County, Arkansas",17032,17032,17032,1036,53888,1036,340,152,8,7939,342,727,157800,15482,27,0,5044,1337,05,087
156,"Marion County, Arkansas",17076,17076,17076,446,46953,1180,696,43,91,6442,416,792,158400,15131,65,0,6090,1206,05,089
157,"Miller County, Arkansas",42588,42588,42588,1683,49983,2704,1574,185,170,17819,1284,882,148200,36208,0,0,10657,5654,05,091
158,"Mississippi County, Arkansas",39749,39749,39749,1861,53428,2442,1002,153,79,18690,1563,797,115800,32797,47,0,9140,6241,05,093
159,"Monroe County, Arkansas",6681,6681,6681,189,43955,570,123,43,4,2698,254,603,82200,5543,0,0,1851,968,05,095
160,"Montgomery County, Arkansas",8571,8571,8571,410,49015,824,194,60,18,3361,234,734,136000,7709,18,0,2959,793,05,097
161,"Nevada County, Arkansas",8228,8228,8228,379,41761,508,136,0,10,3331,278,841,85700,6601,0,0,2242,1160,05,099
162,"Newton County, Arkansas",7175,7175,7175,123,47395,487,241,17,0,3067,121,629,178800,6305,0,0,2208,841,05,101
163,"Ouachita County, Arkansas",22317,22317,22317,562,49838,1460,774,91,39,8983,412,714,99600,20328,22,0,6117,2473,05,103
164,"Perry County, Arkansas",10073,10073,10073,332,60078,882,303,45,10,4118,186,734,129300,9012,23,3,2971,869,05,105
165,"Phillips County, Arkansas",15910,15910,15910,305,38874,1007,430,38,41,6070,962,756,76200,13248,98,0,3334,2845,05,107
166,"Pike County, Arkansas",10182,10182,10182,801,51000,965,394,18,10,4271,110,671,115400,9167,0,0,3126,994,05,109
167,"Poinsett County, Arkansas",22740,22740,22740,840,47188,1309,438,70,26,9896,522,647,101200,18679,106,0,5750,3281,05,111
168,"Polk County, Arkansas",19348,19348,19348,1325,49252,1604,597,80,49,8604,722,699,122600,16712,50,0,6477,1407,05,113
169,"Pope County, Arkansas",63830,63830,63830,6783,54606,6708,2565,449,502,28952,1367,855,161700,53873,265,57,17148,6925,05,115
170,"Prairie County, Arkansas",8162,8162,8162,179,51094,662,279,22,28,3715,151,637,87500,7286,0,0,2480,781,05,117
171,"Pulaski County, Arkansas",398949,398949,398949,32722,60385,59781,27809,8503,4975,194750,9611,1036,199600,341555,1251,110,97857,71596,05,119
172,"Randolph County, Arkansas",18733,18733,18733,461,52838,1093,486,121,150,7831,494,671,118100,15875,29,0,5178,1893,05,121
173,"St. Francis County, Arkansas",22740,22740,22740,760,41784,1179,753,76,75,8577,635,791,87700,19093,27,0,4353,3528,05,123
174,"Saline County, Arkansas",125724,125724,125724,8776,76534,16852,5831,1350,795,62382,2393,980,211700,112647,214,0,37905,11684,05,125
175,"Scott County, Arkansas",9839,9839,9839,768,45955,603,109,16,20,4036,249,736,110900,8480,11,0,2902,1025,05,127
176,"Searcy County, Arkansas",7861,7861,7861,172,41978,565,164,51,6,3014,159,596,108100,6989,56,5,2293,759,05,129
177,"Sebastian County, Arkansas",128448,128448,128448,20023,56450,12795,5444,1425,1411,61296,3564,854,166000,107903,117,9,31802,20149,05,131
178,"Sevier County, Arkansas",15797,15797,15797,5538,51641,680,340,29,0,6901,336,725,111700,14418,20,10,3720,1977,05,133
179,"Sharp County, Arkansas",17597,17597,17597,409,42950,1070,318,62,71,6524,425,648,94600,15670,23,0,5418,1392,05,135
180,"Stone County, Arkansas",12474,12474,12474,266,38531,902,375,23,106,4254,188,717,149400,10601,33,0,3749,1213,05,137
181,"Union County, Arkansas",38368,38368,38368,1751,50221,3278,1326,287,67,16970,741,825,114700,34496,55,0,11031,4094,05,139
182,"Van Buren County, Arkansas",15936,15936,15936,533,47266,1245,459,147,25,5842,252,727,122300,14205,50,0,5551,1564,05,141
183,"Washington County, Arkansas",251863,251863,251863,46214,66426,31300,15211,3663,3276,129471,5473,1005,266000,208381,962,322,53043,42424,05,143
184,"White County, Arkansas",77395,77395,77395,3693,53435,5722,3160,474,735,34263,1748,806,159600,64945,230,93,19751,9194,05,145
185,"Woodruff County, Arkansas",6157,6157,6157,36,49982,359,301,30,3,2758,173,595,96800,5480,1,0,1810,943,05,147
186,"Yell County, Arkansas",20195,20195,20195,4214,58870,1399,408,88,75,9144,316,653,131300,17965,119,7,5437,2616,05,149
187,"Alameda County, California",1651949,1651949,1651949,385245,126240,341463,191764,37169,42039,908826,47017,2318,1057400,1433124,17725,2924,320712,272405,06,001
188,"Alpine County, California",1695,1695,1695,249,110781,264,145,46,41,806,29,-666666666,466100,1404,0,0,383,90,06,003
189,"Amador County, California",41029,41029,41029,6361,81526,5027,1663,414,191,17083,1043,1380,422800,35765,61,0,12863,3203,06,005
190,"Butte County, California",209470,209470,209470,40829,68574,28185,9610,3230,2193,101141,7192,1369,408700,168649,457,231,47987,34358,06,007
191,"Calaveras County, California",45995,45995,45995,6403,79877,5242,2022,390,265,19090,1117,1615,441800,41646,215,19,15099,2798,06,009
192,"Colusa County, California",21895,21895,21895,13639,75149,1579,347,71,32,10360,869,1139,375100,20322,30,11,4646,2820,06,011
193,"Contra Costa County, California",1161458,1161458,1161458,316799,125727,221951,97680,26108,18477,608587,35999,2322,830800,1028882,6954,679,278509,133153,06,013
194,"Del Norte County, California",27293,27293,27293,5350,66780,2540,1063,359,202,11094,712,1182,319600,24029,24,0,6851,2770,06,015
195,"El Dorado County, California",192299,192299,192299,27230,106190,36513,12422,4077,2053,92417,4466,1626,640500,168760,779,103,57838,17881,06,017
196,"Fresno County, California",1012152,1012152,1012152,547669,71434,98932,34067,11786,5781,465169,39771,1300,362600,895467,3228,533,178533,143630,06,019
197,"Glenn County, California",28623,28623,28623,12632,70487,2314,489,177,90,13934,1028,1103,338400,25513,59,2,6157,3606,06,021
198,"Humboldt County, California",135418,135418,135418,18744,61135,19521,6898,2208,1371,65509,5702,1249,418800,112743,179,28,30879,23999,06,023
199,"Imperial County, California",179319,179319,179319,153460,56393,12731,3439,1207,427,70148,8809,1012,279500,161002,956,75,27732,21112,06,025
200,"Inyo County, California",18803,18803,18803,4469,72432,2759,1338,107,218,8742,240,1140,338400,16621,66,0,5316,2607,06,027
201,"Kern County, California",910433,910433,910433,507456,67660,68949,25215,6405,3222,395704,33049,1220,310600,813263,2988,305,168321,113095,06,029
202,"Kings County, California",152830,152830,152830,87860,68750,8991,3015,765,528,58943,5787,1228,305700,131687,978,7,23976,19760,06,031
203,"Lake County, California",68139,68139,68139,16184,58738,5743,1843,809,288,28095,3220,1292,316800,58760,213,0,18701,7663,06,033
204,"Lassen County, California",31177,31177,31177,7027,64395,2309,547,143,83,10329,787,1043,259500,25531,83,9,6180,2880,06,035
205,"Los Angeles County, California",9848406,9848406,9848406,4753369,87760,1574014,590744,183211,103775,5203398,365701,1893,783300,8838101,61862,9040,1562207,1828047,06,037
